title,artist,year,score,category,genre,salesPoint,coverUrl
인비인 - 성해나 기담집,성해나 (지은이),2026,5.0,book,소설,50490,https://image.aladin.co.kr/product/39581/25/coversum/k692139247_2.jpg
안녕 신,"마야 유타카 (지은이), 문승준 (옮긴이)",2026,5.0,book,소설,22990,https://image.aladin.co.kr/product/39349/12/coversum/k112138538_3.jpg
싯다르타,"헤르만 헤세 (지은이), 박병덕 (옮긴이)",2002,4.5,book,소설,201494,https://image.aladin.co.kr/product/32/95/coversum/s062934786_1.jpg
안녕이라 그랬어,김애란 (지은이),2025,5.0,book,소설,302463,https://image.aladin.co.kr/product/36566/52/coversum/s632135953_1.jpg
프로젝트 헤일메리,"앤디 위어 (지은이), 강동혁 (옮긴이)",2021,4.5,book,소설,371400,https://image.aladin.co.kr/product/27045/43/coversum/k692135851_3.jpg
아코디언,천명관 (지은이),2026,5.0,book,소설,29840,https://image.aladin.co.kr/product/39553/98/coversum/8936439960_1.jpg
시간의 감촉,은희경 (지은이),2026,4.5,book,소설,35890,https://image.aladin.co.kr/product/39536/43/coversum/k182139749_1.jpg
상상 속의 삶,"앤드루 포터 (지은이), 민은영 (옮긴이)",2026,5.0,book,소설,27790,https://image.aladin.co.kr/product/39448/62/coversum/k762139598_1.jpg
모순 - 개정판,양귀자 (지은이),2013,4.5,book,소설,281637,https://image.aladin.co.kr/product/2584/37/coversum/8998441012_3.jpg
나는 고양이로소이다 (한정판),"나쓰메 소세키 (지은이), 김난주 (옮긴이)",2026,5.0,book,소설,36390,https://image.aladin.co.kr/product/39356/87/coversum/8932925739_1.jpg
인간 실격,"다자이 오사무 (지은이), 홍은주 (옮긴이)",2026,5.0,book,소설,37684,https://image.aladin.co.kr/product/39493/3/coversum/k592139413_1.jpg
영혼의 왈츠 1~2 세트 (특별 한정판),"베르나르 베르베르 (지은이), 전미연 (옮긴이)",2026,5.0,book,소설,15540,https://image.aladin.co.kr/product/39574/88/coversum/k182139147_1.jpg
수족관,유래혁 (지은이),2023,5.0,book,소설,40247,https://image.aladin.co.kr/product/33081/18/coversum/k582937507_1.jpg
자몽살구클럽,한로로 (HANRORO) (지은이),2025,3.5,book,소설,154149,https://image.aladin.co.kr/product/36808/37/coversum/k082030009_1.jpg
만일 그대가 나보다 먼저 간다면,허수경 (지은이),2026,5.0,book,소설,35060,https://image.aladin.co.kr/product/39449/38/coversum/k912139593_1.jpg
바다 여인의 선물,"데니스 존슨 (지은이), 김승욱 (옮긴이)",2026,4.5,book,소설,5310,https://image.aladin.co.kr/product/39376/86/coversum/k712139771_2.jpg
괴테는 모든 것을 말했다 - 제172회 아쿠타가와상 수상작,"스즈키 유이 (지은이), 이지수 (옮긴이)",2025,4.0,book,소설,250140,https://image.aladin.co.kr/product/37676/59/coversum/s612137162_1.jpg
책갈피와 거짓말의 계절,"요네자와 호노부 (지은이), 김선영 (옮긴이)",2026,0.0,book,소설,12080,https://image.aladin.co.kr/product/39551/90/coversum/k462139041_2.jpg
소설 보다 : 여름 2026,"구소현, 남궁지혜, 박민경 (지은이)",2026,4.0,book,소설,24990,https://image.aladin.co.kr/product/39497/47/coversum/8932045313_1.jpg
영혼의 왈츠 1,"베르나르 베르베르 (지은이), 전미연 (옮긴이)",2026,0.0,book,소설,11500,https://image.aladin.co.kr/product/39536/39/coversum/893292578x_2.jpg
브람스를 좋아하세요...,"프랑수아즈 사강 (지은이), 김남주 (옮긴이)",2008,4.5,book,소설,89907,https://image.aladin.co.kr/product/215/66/coversum/s252137206_1.jpg
당신의 독자가 될게요 - 혼란을 끌어안는 쓰기에 대하여,정세랑 (지은이),2026,0.0,book,소설,14730,https://image.aladin.co.kr/product/39495/53/coversum/8960909963_1.jpg
영혼의 왈츠 2,"베르나르 베르베르 (지은이), 전미연 (옮긴이)",2026,0.0,book,소설,9810,https://image.aladin.co.kr/product/39536/40/coversum/8932925798_2.jpg
압록강은 흐른다,"이미륵 (지은이), 안삼환 (옮긴이)",2026,0.0,book,소설,10310,https://image.aladin.co.kr/product/39575/12/coversum/8937465000_1.jpg
2026 제17회 젊은작가상 수상작품집,"김채원, 길란, 남의현, 서장원, 위수정, 이미상, 함윤이 (지은이)",2026,4.0,book,소설,74830,https://image.aladin.co.kr/product/38989/43/coversum/k232137415_1.jpg
급류,정대건 (지은이),2022,3.5,book,소설,130593,https://image.aladin.co.kr/product/30769/24/coversum/8937473402_1.jpg
인간선언 Homo duduri (표지 2종 중 랜덤),"김연수, 강화길, 김혜진, 박선우, 장강명, 안태운, 유선혜, 육호수, 이제니, 배순탁, 원소윤, 김은경, 소지예, 이이오 (지은이)",2026,0.0,book,소설,16730,https://image.aladin.co.kr/product/39481/54/coversum/k132139317_1.jpg
"혼모노 (리커버, 양장)",성해나 (지은이),2025,4.0,book,소설,278499,https://image.aladin.co.kr/product/39078/47/coversum/k792137959_1.jpg
나의 첫 번째 부동산 교과서,송희구 (지은이),2026,4.5,book,경제/경영,99030,https://image.aladin.co.kr/product/39443/32/coversum/k392139397_1.jpg
"부의 갈림길 - 대전환의 시작, 다시 쓰는 투자 포트폴리오",오건영 (지은이),2026,5.0,book,경제/경영,50020,https://image.aladin.co.kr/product/39443/89/coversum/k232139499_1.jpg
박곰희 연금 부자 수업 (25만 부 기념 리미티드 에디션) - 4개의 통장으로 월 300만 원 만들기,박곰희 (지은이),2025,5.0,book,경제/경영,173150,https://image.aladin.co.kr/product/39410/64/coversum/k342139095_1.jpg
김미경의 플러스 휴먼 - 보통 인간의 한계를 깨부수는 AI 진화 전략,김미경 (지은이),2026,4.5,book,경제/경영,38250,https://image.aladin.co.kr/product/39349/9/coversum/k582138437_1.jpg
