title,genre,year,score,salesPoint,posterUrl,overview
집착,"공포, 스릴러",2026,7.9,617307,https://image.tmdb.org/t/p/w500/bRwnj8WEKBCvmfeUNOukJPwB43K.jpg,"음반점 직원 베어(마이클 존스턴)는 어린 시절부터 짝사랑해 온 동료이자 소꿉친구 니키(인디 네버레티)에게 마음을 고백하지 못하고 있다. 용기를 내지 못한 베어는 우연히 발견한 신비로운 장난감 '원 위시 윌로(One Wish Willow)'를 통해 니키가 자신을 세상에서 가장 사랑하게 해달라고 소원을 빈다. 소원은 즉시 이루어지고, 니키는 베어에게 모든 것을 건 사랑을 쏟아붓는다. 하지만 이 사랑은 점점 집착으로 변질되고, 니키의 행동은 기이하고 공포스러운 방향으로 치닫는다. 때로는 본래의 니키가 잠시 깨어나 공포에 질려 비명을 지르기도 한다. 베어는 자신이 원했던 것이 정말 니키인지, 그리고 그 구분이 얼마나 중요한지라는 끔찍한 질문에 직면하게 된다. 소원의 대가가 그들 모두를 위협하는 가운데, 베어는 자신의 욕망이 초래한 비극적 결과와 마주해야 한다."
모탈 컴뱃 2,"액션, 판타지, 모험",2026,8.0,536685,https://image.tmdb.org/t/p/w500/1NgBKiPrJzv1VHdEN8brdy59Rxo.jpg,"왕년의 할리우드 액션 스타 ‘쟈니 케이지’. 무기는 ‘잘생긴 얼굴’ 하나뿐인 그가 지구의 운명을 짊어진 어스렐름의 전사로 낙점되어, 자비 없는 선혈의 전장 ‘모탈 컴뱃’ 토너먼트 리그에 강제 투입된다. 죽을 때까지 결코 끝나지 않는 토너먼트 속 ‘쟈니 케이지’는 궁극의 악 ‘샤오 칸’에 맞서, 복수를 위해 칼날을 간 에데니아의 공주 ‘키타나’와 어스렐름의 정예 전사들과 함께 위험천만한 리얼 액션에 뛰어드는데…"
마이클,"음악, 드라마",2026,8.6,512443,https://image.tmdb.org/t/p/w500/piMZqtd0gGS7OgkhDwiQ7vVViBQ.jpg,"어린 나이에 형제들과 ‘잭슨 파이브’ 그룹의 막내로 데뷔하자마자 음악적 천재성과 스타성으로 주목을 받은 ‘마이클 잭슨’. 전세계적인 스타로 성공하지만, 그는 가족에 대한 책임감과 자신의 음악적 정체성 사이에서 고민에 빠지게 된다."
무명의 남자,드라마,2021,7.8,378882,https://image.tmdb.org/t/p/w500/4TpBhdaSl5ALHbgeaYOLF8Q3haz.jpg,"내리쬐는 여름 태양 아래, 거센 파도 속에서 돋아나는 사랑. 이 작품에는 여름의 뜨거움과 고요함이 담겨있다. 색감과 노래에서 묻어 나오는 감정들은 영화에 더욱 몰입하게 한다."
디스클로저 데이,"스릴러, SF, 미스터리",2026,6.8,326403,https://image.tmdb.org/t/p/w500/86EdVHOEFjFNPeE0sWjpCqcUORj.jpg,"우리가 혼자가 아니라는 사실을 알게 된다면, 누군가가 그것을 증명한다면, 그게 당신을 두렵게 하나요? 진실은 70억 인류 모두의 것입니다."
나는 신혼 너는 재혼,드라마,2021,0.0,274109,https://image.tmdb.org/t/p/w500/wTFF1SFTDYL7M1yWjY0K8Ga5pZS.jpg,
슈퍼 마리오 갤럭시,"가족, 코미디, 모험, 판타지, 애니메이션",2026,8.2,243612,https://image.tmdb.org/t/p/w500/knaXOBDBecVBWZVup3zXaOoy23v.jpg,"브루클린의 배관공에서 세계를 구한 히어로로 레벨업한 형제 ‘마리오’와 ‘루이지’는 모래 왕국에서 임무를 수행하던 중, 길을 잃은 ‘요시’를 구출하며 특별한 우정을 쌓게 된다. 한편, 무너진 ‘쿠파’ 가문의 명예를 되찾기 위해 악의 왕자 ‘쿠파주니어’는 은하계의 수호자이자 치코들의 엄마 ‘로젤리나’를 납치하고, 버섯 왕국에 잡힌 아빠 ‘쿠파’를 되찾기 위해 왕국을 습격한다. 다시 찾아온 위기 속에서 마리오와 루이지, 피치, 키노피오 그리고 새로 합류한 요시까지 로젤리나도 구하고, 쿠파주니어의 비범한 계획을 막기 위해 넓은 갤럭시로 뛰어들게 되는데…"
만달로리안과 그로구,"액션, 모험, SF",2026,6.8,239247,https://image.tmdb.org/t/p/w500/tMP99wq45GQMoeZwITgjAS8Wihm.jpg,은하계를 누비는 현상금 사냥꾼 ‘딘 자린’ & 치명적인 귀여움의 ‘그로구’
원초적 불륜,"드라마, 로맨스",2024,4.4,231588,https://image.tmdb.org/t/p/w500/rMgG7cWuq9O6zhhLs2CbqIKVA8V.jpg,
데미지,"드라마, 로맨스",1992,6.6,184661,https://image.tmdb.org/t/p/w500/bc6ADs3tcdyQFrGrSsmujKSEPYo.jpg,"모든 것을 다 가진 완벽한 남자 스티븐 플레밍(제러미 아이언스)은 어느 날 파티에서 아들 마틴(루퍼트 그레이브스)의 연인인 안나 바튼(줄리엣 비노쉬)을 만나게 된다. 스치는 찰나의 만남에서 서로를 향한 묘한 감정을 느낀 두 사람은 후에 재회하게 되고 되돌릴 수 없는 열정적 사랑에 빠지게 된다. 스티븐은 안나를 만나면 만날수록 마틴에 대한 죄책감을 느끼지만, 안나는 스티븐 그리고 마틴과의 관계를 자신만의 방법으로 각각 지속시켜 나간다. 그러던 중 마틴과 안나가 결혼 발표를 하게 되면서 스티븐과 안나의 금기된 사랑은 결국 파국을 향해 치닫게 되는데..."
