title,artist,genre,year,salesPoint,category,country,currency,previewUrl,artworkUrl,trackViewUrl
Hype Boy,뉴진스,KPOP,2022,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/85/f3/08/85f30899-e93c-35e2-4742-df57fc2d3552/mzaf_14134842621180071043.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/4e/64/34/4e64344b-3ac6-c503-2c41-257a15401416/192641873096_Cover.jpg/100x100bb.jpg,https://music.apple.com/kr/album/hype-boy/1635469682?i=1635469851&uo=4
404 (New Era),키키,KPOP,2026,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/a8/b6/87/a8b687ed-860d-5da9-f9d5-02dc94e98516/mzaf_17275371173713193127.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/1b/43/f5/1b43f5d0-0a3b-d1e1-bc0a-e572e92e0455/199806885123.jpg/100x100bb.jpg,https://music.apple.com/kr/album/404-new-era/1868617345?i=1868617347&uo=4
RUDE!,Hearts2Hearts,KPOP,2026,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/01/3c/36/013c3684-7121-8f9f-6eb5-00b610ac055c/mzaf_16203782190977593201.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/78/b9/fb/78b9fb30-169a-eab0-38e9-8df725f8f2d6/888735954603.png/100x100bb.jpg,https://music.apple.com/kr/album/rude/1875146814?i=1875146815&uo=4
Drowning,WOODZ,KPOP,2023,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/0f/d8/6f/0fd86fd4-67e1-819e-011e-6dfbb35c543f/mzaf_1219313157550046379.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/07/91/0d/07910df6-5ab5-0867-3be5-900cf9d11018/cover_KM0016894_1.jpg/100x100bb.jpg,https://music.apple.com/kr/album/drowning/1683448653?i=1683448656&uo=4
LOVE DIVE,아이브,KPOP,2022,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/b1/71/d4/b171d4a4-0446-b7d6-d778-7de6ee31f779/mzaf_13755854455583478875.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/67/f8/16/67f8164a-bfc2-f29b-e241-800426a968ef/cover_KM0015013_1.jpg/100x100bb.jpg,https://music.apple.com/kr/album/love-dive/1616804151?i=1616804152&uo=4
한 페이지가 될 수 있게,데이식스,KPOP,2019,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/79/19/be/7919be5a-969d-0e3b-df54-71592942d13f/mzaf_767193238431796792.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/b3/8f/9d/b38f9d23-d5c3-cde5-92ad-9a8fa6d0a7eb/DAY6_The_Book_of_Us_Gravity_3000x3000.jpg/100x100bb.jpg,https://music.apple.com/kr/album/%ED%95%9C-%ED%8E%98%EC%9D%B4%EC%A7%80%EA%B0%80-%EB%90%A0-%EC%88%98-%EC%9E%88%EA%B2%8C/1471938394?i=1471938396&uo=4
Cookie,뉴진스,KPOP,2022,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/e5/7b/b0/e57bb09d-52c7-4fbd-1cd4-34c5bf3191fd/mzaf_15060284439168925693.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/4e/64/34/4e64344b-3ac6-c503-2c41-257a15401416/192641873096_Cover.jpg/100x100bb.jpg,https://music.apple.com/kr/album/cookie/1635469682?i=1635469854&uo=4
Next Level,aespa,KPOP,2021,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/43/1e/0a/431e0a24-2c04-e738-2632-87462a20984d/mzaf_3158159453623406671.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/60/8d/ac/608dacc2-d6d6-462d-26f0-d693e4364751/artwork.jpg/100x100bb.jpg,https://music.apple.com/kr/album/next-level/1567326687?i=1567326688&uo=4
Bye Bye My Blue,백예린,KPOP,2016,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/c0/ec/07/c0ec07fb-3fc8-361b-aa3d-64ada14923cd/mzaf_1814773403894407249.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/d3/3b/6d/d33b6d23-795d-2b29-89fe-88170cbfbf4d/online_cover.jpg/100x100bb.jpg,https://music.apple.com/kr/album/bye-bye-my-blue/1125890995?i=1125891115&uo=4
Armageddon,aespa,KPOP,2024,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/f1/d9/40/f1d9406f-b253-80b0-fbf6-72c2dc02576e/mzaf_7682160531840108387.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/cf/97/05/cf970525-a2fd-a7e3-2812-0f9c3f3d2c33/888735947551.png/100x100bb.jpg,https://music.apple.com/kr/album/armageddon/1745285216?i=1745285228&uo=4
